Time,Ecoregion,SoilType,NrOfCohorts,MaxLayerStdev,Layers,PAR0,Tmin(C),Tave(C),Tday(C),Tmax(C),Precip(mm/mo),CO2(ppm),O3(cum_ppb_h,RunOff(mm/mo),Leakage(mm),PET(mm),Evaporation(mm),Transpiration(mm),Interception(mm),PrecLoss(mm/mo),water(mm),PressureHead(mm),SnowPack(mm),LAI(m2),VPD(kPa),GrossPsn(gC_m2_mo),NetPsn(gC_m2_mo),MaintenanceRespiration(gC_mo),Wood(gDW),Root(gDW),Fol(gDW),NSC(gC),HeteroResp(gC_mo),Litter(gDW_m2),CWD(gDW_m2),WoodSenescence(gDW_m2),FoliageSenescence(gDW_m2),SubCanopyPAR,FrostDepth(mm),LeakageFrac(-)
1900,eco999,SALO,1,56,1,350,-13.84,-8.185,-5.3575,-2.53,35.46,375,0,0,0,0,0,0,0,0,188,3,30.141,0,0.2058431,0,0,0.06650975,93,46,0,6.933491,0,0,0,0,0,0,1000,1
1900.083,eco999,SALO,1,56,1,520,-13.43,-7.15,-4.01,-0.87,25.87,375,0,0,0,0,0,0,0,0,188,3,52.1305,0,0.2462872,0,0,0.07315309,93,46,0,6.860337,0,0,0,0,0,0,1000,1
1900.167,eco999,SALO,1,56,1,685,-7.35,-1.135,1.9725,5.08,43.34,375,0,0,20.96367,0,0,0,0,2.392987,188.5732,3,68.62911,0,0.3765831,0,0,0.114964,93,46,0,6.745374,0,0,0,0,0,0,1000,1
1900.25,eco999,SALO,1,56,1,889,-0.28,6.71,10.205,13.7,75.55,375,0,0,136.6242,40.33773,40.33773,0,0,7.555,148.2355,9,0,0,0.6480249,0,0,0.20621,93,46,0,6.539163,0,0,0,0,0,889,1000,1
1900.333,eco999,SALO,1,56,1,996,4.91,12.56,16.385,20.21,110.41,375,0,0,58.37753,46.76904,45.95232,0.816722,0,11.041,142.4579,11,0,0.04657932,0.9965439,4.390134,4.006452,0.3219258,93,46,2.784364,8.970727,0,0,0,0,0,969.4523,1000,1
1900.417,eco999,SALO,1,56,1,968,10.6,17.96,21.64,25.32,129.3,375,0,0,68.75548,45.48986,44.29253,1.197335,0.6008701,12.86991,144.0417,10,0,0.04657932,1.308112,4.903101,4.366254,0.4756719,93,46,2.784364,12.86131,0,0,0,0,0,942.1985,1000,1
1900.5,eco999,SALO,1,56,1,908,13.16,20.38,23.99,27.6,96.06,375,0,0,40.43025,41.61452,40.25201,1.362513,0.4464004,9.561359,148.0492,9,0,0.04657932,1.468441,4.970317,4.331802,0.5578772,93,46,2.784364,16.63523,0,0,0,0,0,883.7978,1000,1
1900.583,eco999,SALO,1,56,1,816,12.06,19.03,22.515,26,112.18,375,0,0,59.05844,35.24487,34.10747,1.137403,0.5213117,11.16587,154.2387,7,0,0.04657932,1.319802,4.616423,4.024922,0.4928303,93,46,2.784364,20.16733,0,0,0,0,0,794.2501,1000,1
1900.667,eco999,SALO,1,56,1,692,7.58,14.395,17.8025,21.21,92.83,375,0,0,48.2758,26.52604,25.84081,0.6852293,0.4313903,9.239861,162.5957,6,0,0.04657932,0.9959317,3.685584,3.261295,0.3438431,93,46,2.784364,23.08477,0,0,0,0,0,673.5552,1000,1
1900.75,eco999,SALO,1,56,1,510,2.61,9.075,12.3075,15.54,59.78,375,0,0,27.31458,14.04677,13.72217,0.3245998,0.2778037,5.95022,174.7863,4,0,0.04657932,0.6941499,2.504927,2.213455,0.2287974,93,46,2.784364,25.06944,0,0,0,0,0,496.4063,1000,1
