Time,Year,Month,Ecoregion,SoilType,NrOfCohorts,MaxLayerRatio,Layers,SumCanopyProp,PAR0,Tmin(C),Tave(C),Tday(C),Tmax(C),Precip(mm/mo),CO2(ppm),O3(cum_ppb_h,RunOff(mm/mo),Leakage(mm),Potential Evapotranspiration(mm),Potential Evaporation(mm),Evaporation(mm),PotentialTranspiration(mm),Transpiration(mm),Interception(mm),PrecLoss(mm/mo),Water(m/m),PressureHead(mm),Surface Water (mm),Available Water (mm),SnowPack(mm),LAI(m2),VPD(kPa),GrossPsn(gC_m2_mo),NetPsn(gC_m2_mo),MaintenanceRespiration(gC_mo),Wood(gDW),Root(gDW),Fol(gDW),NSC(gC),HeteroResp(gC_mo),Litter(gDW_m2),CWD(gDW_m2),WoodSenescence(gDW_m2),FoliageSenescence(gDW_m2),SubCanopyPAR,SoilDiffusivity(mm2_s),ActiveLayerDepth(mm/mo),LeakageFrac(-),AverageAlbedo(ratio_W_m2),FrostDepth(mm/mo),SPEI,WoodMass,TotalBiomass,HOM,HON,SoilDecResp,NEP,GrossNMin,NetNMin,NRatioNit,NetNitr,NDrain,NdepTot,NPoolTot,NetN,RootNSink,PlantNSite,LitterMSite,LitterNSite,Canopy%N,NRatioSite,LitFolNSite,LitRootNSite,LitWoodNSite,Litter%NSite,OpenSpace,CanopyNSite,WoodNSite,RootNSite,DWoodNSite,Wood%NSite,DWood%NSite,NH4dep,NO3dep,NetPsnSite,SoilDecResp,WoodDecRespSite,WoodMRespSite,WoodGRespSite,FolGRespSite,RootMRespSite,RootGRespSite
1895,1895,1,eco999,SALO,1,0.999999999951758,1,0.01358848,458,-8.2,-4.2,-2.2,-0.2,141,293,0,0,14.50284,0,0,0,0,0,0,1.61143,0.1839697,3.37,0,102.9133,106.1529,0,0.2045775,0,0,0.0001806441,2.826405,1.386025,0,0.09511939,0,0,0,0,0,458,0,999000,1,0.01019136,0,0,4.217214,4.21243,6742.199,192.3712,4.168198,-4.168478,0.2641004,0.1288632,0,0,0,0.02438,192.9729,-0.162823,0.2191415,0.003595334,0.01124148,0.0001124148,0,1.3,0,0.0001108594,1.555409E-06,0.01,0.9864115,0,0.008434429,0.001247989,0.0001850937,0.002,0.002,0.008777,0.015603,0,4.168198,0.0002799737,0,0,0,0,0
1895.083,1895,2,eco999,SALO,1,0.999999999951758,1,0.01358848,613,-11,-5.9,-3.35,-0.8,38,293,0,0,0,0,0,0,0,0,0,0,0.1839697,3.37,0,102.9133,138.4529,0,0.2245449,0,0,0.0001481426,2.826405,1.386025,0,0.09511939,0,0,0,0,0,613,0,999000,1,0.01019136,0,0,4.208428,4.21243,6734.404,192.2625,3.51212,-3.512424,0.2226871,0.1088124,0,0,0,0.02438,192.8657,-0.1315577,0.184882,0.005407604,0.0103504,0.000103504,0,1.3,0,0.0001018151,1.688879E-06,0.009999999,0.9864115,0,0.008416858,0.001146174,0.0002009766,0.002,0.002,0.008777,0.015603,0,3.51212,0.0003039982,0,0,0,0,0
1895.167,1895,3,eco999,SALO,1,0.999999999951758,1,0.01358848,674,-3,1.1,3.15,5.2,61,293,0,0,141.2754,31.20232,31.20232,0,0,0,0,5.315714,0.1839697,3.37,0,102.9133,51.68529,0,0.2901618,0,0,0.000366425,2.812816,1.386025,0,0.09511939,0,0,0,0,0,674,0,999000,1,0.01019136,0,0,4.19966,4.198842,6718.725,192.0435,7.060219,-7.060546,0.4479203,0.2191336,0,0,0,0.02438,192.5847,-0.3053859,0.3723066,0.009614304,0.00953296,9.532959E-05,0,1.3,0,9.350866E-05,1.820931E-06,0.009999999,0.9864115,0,0.008399323,0.001052665,0.0002166908,0.002000001,0.002,0.008777,0.015603,0,7.060219,0.0003277675,0,0,0,0,0
1895.25,1895,4,eco999,SALO,1,0.999999999951758,1,0.01358848,766,0.9,5.75,8.175,10.6,62,293,0,0,84.965,46.74681,46.74681,27.60162,0,0,0,6.2,0.1788884,3.83,0,97.83194,0,0,0.4336026,0,0,0.000645271,2.812816,1.386025,0,0.09511939,0,0,0,0,0,766,0,999000,1,0.003261236,0,0,4.190911,4.185253,6693.831,191.6945,11.20606,-11.20641,0.7117918,0.3490738,0,0,0,0.02438,192.0856,-0.523495,0.5927173,0.01682589,0.00878315,8.78315E-05,0,1.3,0,8.587992E-05,1.951578E-06,0.009999999,0.9864115,0,0.008381824,0.0009667852,0.0002322378,0.002000001,0.002,0.008777,0.015603,0,11.20606,0.000351284,0,0,0,0,0
1895.333,1895,5,eco999,SALO,1,0.999999999951758,1,0.01347499,848,7.5,14.1,17.4,20.7,36,293,0,0,9.783774,90.2085,90.2085,27.42267,0.02927798,0.02927798,0,3.6,0.1740527,4.36,0,92.99622,0,0.0009078762,0.950523,0.1045744,0.0942245,0.001580105,2.775847,1.374449,0.0902996,0.1405944,0,0,0,0,0,847.5621,0,999000,1,0,0,0,4.147248,4.150296,6636.794,190.8904,25.66999,-25.58346,1.633608,0.8042439,0,0,0,0.02438,190.9582,-1.153683,0.9800001,0.03244347,0.008027822,8.027822E-05,2.3,1.3,0,7.821476E-05,2.063452E-06,0.01,0.986525,0.002076891,0.008294499,0.0008804954,0.0002455509,0.002000001,0.002,0.008777,0.015603,0.0942245,25.66999,0.0003714215,0.007320211,0,0,0,0
1895.417,1895,6,eco999,SALO,1,0.999999999951758,1,0.01347499,808,11.4,17.65,20.775,23.9,56,293,0,0,21.16777,113.6777,113.621,27.28945,0.03854571,0.03854571,0.005083876,5.599492,0.1759524,4.14,0,94.89595,0,0.0009078762,1.104694,0.1194604,0.1067544,0.002210273,2.829747,1.401399,0.0902996,0.2285097,0,0,0,0,0,807.5828,0,999000,1,0,0,0,4.231541,4.231145,6556.286,189.7402,36.23207,-36.14455,2.315826,1.150235,0,0,0,0.02438,189.8238,-1.158703,0.98,0.04826999,0.007402724,7.4024E-05,2.3,1.3,0,7.183374E-05,2.190259E-06,0.009999563,0.986525,0.002076891,0.008277218,0.0008086617,0.0002606408,0.001956076,0.001997052,0.008777,0.015603,0.1067544,36.23207,0.0003948286,0.008362228,0.0104768,0,0,0
1895.5,1895,7,eco999,SALO,1,0.999999999951758,1,0.01347499,698,15.9,20.8,23.25,25.7,71,293,0,0,33.0767,138.9626,138.8933,27.85044,0.03829813,0.03829813,0.006445629,7.099355,0.1788811,3.84,0,97.82468,0,0.0009078762,1.045375,0.1254282,0.1096608,0.002876853,2.829747,1.387924,0.0902996,0.3293906,0,0,0,0,0,697.6395,0,999000,1,0,0,0,4.222725,4.21767,6447.549,188.1576,48.93464,-48.83418,3.14706,1.582675,0,0,0,0.02438,188.2714,-1.576855,0.98,0.06980846,0.006829545,6.828902E-05,2.3,1.3,0,6.597331E-05,2.315709E-06,0.009999058,0.986525,0.002076891,0.008259974,0.0007426884,0.0002755693,0.001956077,0.001994459,0.008777,0.015603,0.1096608,48.93464,0.0004179855,0.008779973,0,0,0,0
1895.583,1895,8,eco999,SALO,1,0.999999999951758,1,0.01347499,731,11.4,16.45,18.975,21.5,43,293,0,0,13.62066,99.5472,99.49751,27.49823,0.02629916,0.02629916,0.003903691,4.29961,0.1764325,4.09,0,95.37602,0,0.0009078762,0.8458514,0.106448,0.09428906,0.001930729,2.829747,1.387924,0.0902996,0.4162283,0,0,0,0,0,730.6225,0,999000,1,0,0,0,4.213928,4.21767,6378.133,187.1216,31.24016,-31.15376,2.025944,1.036063,0,0,0,0.02438,187.239,-1.056759,0.9800001,0.0842429,0.006304041,6.30308E-05,2.3,1.3,0,6.059099E-05,2.439813E-06,0.009998476,0.986525,0.002076891,0.008242766,0.0006820975,0.0002903378,0.001956077,0.001992161,0.008777,0.015603,0.09428906,31.24016,0.0004408944,0.00745136,0,0,0,0
1895.667,1895,9,eco999,SALO,1,0.999999999951758,1,0.01347499,677,8.6,14.3,17.15,20,21,293,0,0,0,75.6087,75.57096,26.20888,0.02034058,0.02034058,0.001906454,2.099809,0.1691016,4.98,0,88.04514,0,0.0009078762,0.8387382,0.08302839,0.07286862,0.001525138,2.816272,1.387924,0.0902996,0.4832849,0,0,0,0,0,676.6504,0,999000,1,0,0,0,4.205149,4.204195,6322.692,186.2809,24.95128,-24.88469,1.626711,0.8407314,0,0,0,0.02438,186.4059,-0.8575099,0.98,0.0959558,0.005822309,5.821036E-05,2.3,1.3,0,5.564778E-05,2.562585E-06,0.009997814,0.986525,0.002076891,0.008225594,0.0006264496,0.0003049476,0.001956077,0.001990111,0.008777,0.015603,0.07286862,24.95128,0.0004635573,0.005811988,0,0,0,0
1895.75,1895,10,eco999,SALO,1,0.999999999951758,1,0.01347499,539,2.6,8.85,11.975,15.1,32,293,0,0,0,48.82532,48.80095,25.92938,0,0,0.002905072,3.19971,0.1719695,4.61,0,90.91309,0,0,0.6636734,0,0,0.0008440402,2.816272,1.387924,0,0.4832849,0,0.0902995988726616,0,0,0.0902996,539,0,999000,1,0.003233996,0,0,4.196388,4.190721,6290.857,185.7917,14.36854,-14.36903,0.9407246,0.4902776,0,0,0,0.02438,186.0058,-0.4233973,0.8081257,0.1027918,0.09568037,0.001092237,0,1.3,0.001038445,5.110784E-05,2.684036E-06,0.01141548,0.986525,0,0.008208457,0.0005753419,0.0003194002,0.001956077,0.001988271,0.008777,0.015603,0,14.36854,0.0004859765,0,0,0,0,0
