Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1930,1930,1,1,0,0.0129676,1,0,0,0,0,0.01329391,0,0,0,0,109,202,0,1.413469,2.619456,7,0.0507497,1,0.1832909,3.43,0.9014544,1,0,0,0.04130019,1,False,0.987637,1.85,0.021,1,137,fTemp,1.555,9.980499,5,1.85,0,0,0
1930.08,1930,2,1,0,0.0129676,1,0,0,0,0,0.01090207,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05085566,1,0.1839697,3.37,0.9550163,1,0,0,0.03394016,1,False,0.987637,1.85,0.021,1,137,fTemp,1.555,17.75431,5,1.85,0,0,0
1930.17,1930,3,1,0,0.0129676,1,0,0,0,0,0.02696585,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05096183,1,0.1839697,3.37,0.9669615,1,0,0,0.08412494,1,False,0.987637,1.85,0.021,1,137,fTemp,1.555,21,5,1.85,0,0,0
1930.25,1930,4,1,0,0.0129676,1,0,0,0,0,0.04748661,0,0,0,0,108,200,0,1.400501,2.593521,7,0.05106822,1,0.1839697,3.37,0.9792571,1,0,0.160486,0.1484526,1,False,0.987637,1.85,0.021,1,137,fTemp,1.555,21,5,1.85,0,0,0
1930.33,1930,5,1,0,0.01285932,1,0.0642966,0.0008268104,5.512105,0.5573442,0.1172621,4.954761,0.0215744,0.0120467,6.396672,108,200,0.08225685,1.388806,2.571864,4.568913,0.03272183,1,0.1599851,6.468,0.9379568,1,0.8392341,0.7929751,0.3673499,1,True,0.987637,1.85,0.021,1,137,fTemp,1.555,21,5,1.85,6.396672,0.1183384,0
1930.42,1930,6,1,0,0.01285932,1,0.0642966,0.0008268104,6.256754,0.6842183,0.1640278,5.572536,0.02822329,0.01045276,6.396672,110,204,0.08225685,1.414525,2.623301,8.925976,0.06268602,1,0.1430501,11.314,0.929265,1,0.8392341,0.9180609,0.5149269,1,True,0.9875174,1.85,0.021,1,137,fTemp,1.555,21,5,1.85,6.396672,0.1183384,0
1930.5,1930,7,1,0,0.01309299,1,0.06546494,0.0008571318,6.616988,0.8644181,0.2134958,5.75257,0.02824551,0.0112466,6.512299,110,204,0.08526546,1.440229,2.67097,14.04625,0.09881116,1,0.1514612,8.478,0.8984934,1,0.8392341,0.9735938,0.6568689,1,True,0.9875174,1.85,0.021,1,137,fRad,1.555,21,5,1.85,6.512299,0.1204775,0
1930.58,1930,8,1,0,0.01309299,1,0.06546494,0.0008571318,5.648655,0.666594,0.1432825,4.982061,0.01986446,0.01365144,6.512299,109,203,0.08526546,1.427136,2.657877,18.63291,0.131345,1,0.1434965,10.788,0.9088976,1,0.8392341,0.858436,0.4417619,1,True,0.9875174,1.85,0.021,1,137,fTemp,1.555,21,5,1.85,6.512299,0.1204775,0
1930.67,1930,9,1,0,0.01309299,1,0.06546494,0.0008571318,4.393723,0.5569934,0.1131829,3.836729,0.01532134,0.01376722,6.512299,109,203,0.08526546,1.427136,2.657877,22.16208,0.1565419,1,0.1300384,16.948,0.8912621,1,0.8392341,0.7814437,0.3496889,1,True,0.9875174,1.85,0.021,1,137,fTemp,1.555,21,5,1.85,6.512299,0.1204775,0
1930.75,1930,10,1,0,0.01309299,1,0.06546494,0.0008571318,2.598634,0.3774211,0.06263756,2.221213,0.007170298,0.01739876,6.512299,109,202,0.08526546,1.427136,2.644784,24.20139,0.1712961,1,0.1390761,12.41,0.931833,1,0.8392341,0.472561,0.1939284,1,True,0.9875174,1.85,0.021,1,137,fTemp,1.555,21,5,1.85,6.512299,0.1204775,0
