Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1930,1930,1,1,0,0.01358848,1,0,0,0,0,0.01329391,0,0,0,0,102,208,0,1.386025,2.826405,7,0.0507497,1,0.1828758,3.466,0.8370098,1,0,0,0.04130019,1,False,0.987637,2.83077,0.022,1,175,fTemp,1.555,9.980499,5,2.83077,0,0,0
1930.08,1930,2,1,0,0.01358848,1,0,0,0,0,0.01090207,0,0,0,0,102,208,0,1.386025,2.826405,7,0.05085566,1,0.1839697,3.37,0.9117865,1,0,0,0.03394016,1,False,0.987637,2.83077,0.022,1,175,fTemp,1.555,17.75431,5,2.83077,0,0,0
1930.17,1930,3,1,0,0.01358848,1,0,0,0,0,0.02696585,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05096183,1,0.1839697,3.37,0.9307206,1,0,0,0.08412494,1,False,0.987637,2.83077,0.022,1,175,fTemp,1.555,21,5,2.83077,0,0,0
1930.25,1930,4,1,0,0.01358848,1,0,0,0,0,0.04748661,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05106822,1,0.1839697,3.37,0.9518774,1,0,0.1434405,0.1484526,1,False,0.987637,2.83077,0.022,1,175,fTemp,1.555,21,5,2.83077,0,0,0
1930.33,1930,5,1,0,0.01347499,1,0.06737493,0.0009078762,9.317298,1.002242,0.1172621,8.315056,0.02988056,0.01540639,6.701276,102,206,0.0902996,1.374449,2.775847,7.662846,0.05482694,1,0.1588252,6.718,0.8863687,1,0.7957072,0.7887716,0.3673499,1,True,0.987637,2.83077,0.022,1,175,fTemp,1.555,21,5,2.83077,6.701276,0.1896977,0
1930.42,1930,6,1,0,0.01347499,1,0.06737493,0.0009078762,10.56403,1.230393,0.1640278,9.333633,0.03904494,0.01336794,6.701276,104,210,0.0902996,1.401399,2.829747,15.4795,0.1086074,1,0.1419023,11.844,0.8740946,1,0.7957072,0.9163973,0.5149269,1,True,0.9875174,2.83077,0.022,1,175,fRad,1.555,21,5,2.83077,6.701276,0.1896977,0
1930.5,1930,7,1,0,0.0137199,1,0.06859952,0.0009411789,11.02528,1.554436,0.2134958,9.47084,0.03856162,0.01438324,6.822408,103,210,0.09360278,1.41315,2.88118,24.00142,0.1686792,1,0.1512681,8.468,0.8329792,1,0.7957072,0.9730576,0.6568689,1,True,0.9875174,2.83077,0.022,1,175,fRad,1.555,21,5,2.83077,6.822408,0.1931267,0
1930.58,1930,8,1,0,0.0137199,1,0.06859952,0.0009411789,9.428964,1.1987,0.1432825,8.230264,0.02716904,0.01745871,6.822408,103,210,0.09360278,1.41315,2.88118,31.57165,0.2223353,1,0.1429885,11.196,0.846528,1,0.7957072,0.8555616,0.4417619,1,True,0.9875174,2.83077,0.022,1,175,fRad,1.555,21,5,2.83077,6.822408,0.1931267,0
1930.67,1930,9,1,0,0.0137199,1,0.06859952,0.0009411789,7.260955,1.001611,0.1131829,6.259344,0.0207461,0.01760678,6.822408,103,209,0.09360278,1.41315,2.86746,37.32273,0.2633728,1,0.1309105,16.444,0.8237408,1,0.7957072,0.7770062,0.3496889,1,True,0.9875174,2.83077,0.022,1,175,fTemp,1.555,21,5,2.83077,6.822408,0.1931267,0
1930.75,1930,10,1,0,0.0137199,1,0,0,0,0,0.06263756,0,0,0,0,103,209,0,1.41315,2.86746,37.32273,0.2696924,1,0.1392084,12.38,0.8817428,1,0,0.4618518,0.1939284,1,False,0.9875174,2.83077,0.022,1,175,fTemp,1.555,21.09656,5,2.83077,0,0,0
