Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1940,1940,1,1,0,0.01358848,1,0,0,0,0,0.01329391,0,0,0,0,102,208,0,1.386025,2.826405,7,0.0507497,1,0.1839697,3.37,0.8370098,1,0,0,0.04130019,1,False,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.1450395,5,2.807576,0,0,0
1940.08,1940,2,1,0,0.01358848,1,0,0,0,0,0.01090207,0,0,0,0,102,208,0,1.386025,2.826405,7,0.05085566,1,0.1839697,3.37,0.9117865,1,0,0,0.03394016,1,False,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.187826,5,2.807576,0,0,0
1940.17,1940,3,1,0,0.01358848,1,0,0,0,0,0.02699863,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05096183,1,0.1839697,3.37,0.9307206,1,0,0,0.0842272,1,False,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.2915443,5,2.807576,0,0,0
1940.25,1940,4,1,0,0.01358848,1,0,0,0,0,0.04754542,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05106822,1,0.1839697,3.37,0.9518774,1,0,0.1434405,0.1486364,1,False,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.4701443,5,2.807576,0,0,0
1940.33,1940,5,1,0,0.01347499,1,0.06737493,0.0009078762,9.298623,1.00158,0.117389,8.297043,0.02949021,0.01557903,6.701276,102,206,0.0902996,1.374449,2.775847,7.646139,0.0547074,1,0.1644341,5.694,0.8829764,1,0.8036894,0.7887716,0.3677475,1,True,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.814063,5,2.807576,6.701276,0.1881434,0
1940.42,1940,6,1,0,0.01347499,1,0.06737493,0.0009078762,10.51905,1.22958,0.1640614,9.289471,0.03844788,0.01351773,6.701276,104,210,0.0902996,1.401399,2.829747,15.42178,0.1082024,1,0.1489201,9.188,0.8705156,1,0.8036894,0.9163973,0.5150322,1,True,0.9875174,2.807576,0.022,1,175,fRad,1.555,1.106197,5,2.807576,6.701276,0.1881434,0
1940.5,1940,7,1,0,0.0137199,1,0.06859952,0.0009411789,10.93855,1.55341,0.213383,9.385139,0.03783432,0.01454442,6.822408,103,210,0.09360278,1.41315,2.88118,23.86406,0.1677139,1,0.1529442,8.1,0.8283502,1,0.8036894,0.9730576,0.6565219,1,True,0.9875174,2.807576,0.022,1,175,fRad,1.555,1.470719,5,2.807576,6.822408,0.1915443,0
1940.58,1940,8,1,0,0.0137199,1,0.06859952,0.0009411789,9.343558,1.197908,0.1431349,8.14565,0.0266246,0.01765435,6.822408,103,210,0.09360278,1.41315,2.88118,31.35566,0.2208142,1,0.1450652,10.318,0.8420706,1,0.8036894,0.8555616,0.4413068,1,True,0.9875174,2.807576,0.022,1,175,fRad,1.555,1.734209,5,2.807576,6.822408,0.1915443,0
1940.67,1940,9,1,0,0.0137199,1,0.06859952,0.0009411789,7.185573,1.00095,0.1130259,6.184623,0.0203032,0.01780407,6.822408,103,209,0.09360278,1.41315,2.86746,37.03729,0.2613586,1,0.1320855,15.786,0.8190047,1,0.8036894,0.7770062,0.3492037,1,True,0.9875174,2.807576,0.022,1,175,fTemp,1.555,1.960034,5,2.807576,6.822408,0.1915443,0
1940.75,1940,10,1,0,0.0137199,1,0,0,0,0,0.06253355,0,0,0,0,103,209,0,1.41315,2.86746,37.03729,0.2676299,1,0.1401539,11.968,0.8809491,1,0,0.4618518,0.1936064,1,False,0.9875174,2.807576,0.022,1,175,fTemp,1.555,2.183276,5,2.807576,0,0,0
